source,participant,subj_values,Model,Meaning,Frequency,Task,Condition
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,10491,0.5833333333333334,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,39146,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,49522,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,64196,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,66002,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,112108,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,145601,0.8888888888888888,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,183053,0.6,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,237233,0.9130434782608695,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,275912,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,308566,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,337780,0.875,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,364622,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,375898,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,402050,0.4444444444444444,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,420322,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,439037,0.42857142857142855,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,455957,0.9,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,484560,0.55,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,499937,0.8125,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,504285,0.05263157894736842,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,516480,0.5714285714285714,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,524572,0.2222222222222222,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,581431,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,618798,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,669582,0.5217391304347826,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,681800,0,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,695258,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,697965,0.5882352941176471,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,728095,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,757339,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,819354,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,872729,0.05263157894736842,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,877250,0.5,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond1_subj_means_no_sil_shoon,949821,1,novel_meaning_infreq_prod_model_cond1,novel,infreq,prod,cond1
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,84071,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,118797,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,142467,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,150106,0.07142857142857142,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,167821,0.25,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,208147,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,311083,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,316219,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,323058,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,358678,0.9166666666666666,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,380268,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,394370,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,407407,0.8571428571428571,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,411030,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,416951,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,446620,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
